"name","lastUpdate","link","downloads"
"Panda Free Antivirus","06/25/20","https://download.cnet.com/Panda-Free-Antivirus/3000-2239_4-10914099.html","12,654"
"Microsoft Security Essentials","01/07/19","https://download.cnet.com/Microsoft-Security-Essentials/3000-2239_4-10969260.html","113"
"Trend Micro HijackThis","","https://download.cnet.com/Trend-Micro-HijackThis/3000-8022_4-10227353.html","63"
"Avast Free Antivirus","12/11/20","https://download.cnet.com/Avast-Free-Antivirus/3000-2239_4-10019223.html","2,357"
"VPN Gate Client Plug-in with SoftEther VPN Client","07/21/20","https://download.cnet.com/VPN-Gate-Client-Plug-in-with-SoftEther-VPN-Client/3000-2144_4-75886069.html","3,900"
"Microsoft Windows Defender","07/21/09","https://download.cnet.com/Microsoft-Windows-Defender/3000-8022_4-55082.html","193"
"Password Cracker","04/07/20","https://download.cnet.com/Password-Cracker/3000-2092_4-10226556.html","475"
"Lazesoft Recover My Password Home","01/04/19","https://download.cnet.com/Lazesoft-Recover-My-Password-Home/3000-18501_4-10973339.html","2,864"
"SuperAntiSpyware Free Edition","04/08/20","https://download.cnet.com/SuperAntiSpyware-Free-Edition/3000-8022_4-10523889.html","643"
"Comodo Internet Security","04/27/20","https://download.cnet.com/Comodo-Internet-Security/3000-18510_4-10460704.html","74"
"ZoneAlarm Free Firewall","07/06/20","https://download.cnet.com/ZoneAlarm-Free-Firewall/3000-10435_4-10039884.html","52"
"SpywareBlaster","","https://download.cnet.com/SpywareBlaster/3000-8022_4-10196637.html","17"
"Hotspot Shield","07/30/18","https://download.cnet.com/Hotspot-Shield/3000-2092_4-10594721.html","869"
"Symantec Virus Definitions & Security Updates (32-bit)","04/28/20","https://download.cnet.com/Symantec-Virus-Definitions-Security-Updates-32-bit/3000-2239_4-10001896.html","24"
"SmadAV 2020","04/15/20","https://download.cnet.com/SmadAV-2020/3000-2239_4-75765016.html","174"
"Spybot - Search & Destroy for Windows XP","07/02/14","https://download.cnet.com/Spybot-Search-Destroy-for-Windows-XP/3000-8022_4-10122137.html","58"
"Adaware Antivirus Free","08/21/20","https://download.cnet.com/Adaware-Antivirus-Free/3000-2239_4-10045910.html","176"
"AVG AntiVirus Free","12/11/20","https://download.cnet.com/AVG-AntiVirus-Free/3000-2239_4-10320142.html","1,508"
"RoboForm","","https://download.cnet.com/RoboForm/3000-18501_4-10037672.html","13"
"IObit Malware Fighter","07/15/22","https://download.cnet.com/IObit-Malware-Fighter/3000-8022_4-10967594.html","126"
"MD5 & SHA Checksum Utility","01/30/14","https://download.cnet.com/MD5-SHA-Checksum-Utility/3000-2092_4-10911445.html","363"
"Eraser","01/11/18","https://download.cnet.com/Eraser/3000-2144_4-10231814.html","219"
"Avira Free Security","03/24/21","https://download.cnet.com/Avira-Free-Security/3000-18510_4-10322935.html","258"
"AdwCleaner","08/28/19","https://download.cnet.com/AdwCleaner/3000-8022_4-75851221.html","221"
