"name","lastUpdate","link","downloads"
"Driver Booster","08/08/22","https://download.cnet.com/Driver-Booster/3000-18513_4-75992725.html","2,104"
"Glary Utilities","10/23/20","https://download.cnet.com/Glary-Utilities/3000-18512_4-10508531.html","2,023"
"Revo Uninstaller","06/18/20","https://download.cnet.com/Revo-Uninstaller/3000-2096_4-10687648.html","772"
"IObit Uninstaller","08/18/22","https://download.cnet.com/IObit-Uninstaller/3000-2096_4-75161625.html","28,003"
"EaseUS Partition Master Free Edition","07/11/22","https://download.cnet.com/EaseUS-Partition-Master-Free-Edition/3000-2248_4-10863346.html","575"
"Auto Clicker by Shocker","06/06/14","https://download.cnet.com/Auto-Clicker-by-Shocker/3000-2084_4-75742161.html","695"
"Advanced SystemCare Free","07/20/22","https://download.cnet.com/Advanced-SystemCare-Free/3000-2086_4-10407614.html","3,303"
"Advanced Uninstaller Pro","04/08/19","https://download.cnet.com/Advanced-Uninstaller-Pro/3000-2096_4-10069986.html","366"
"SlimDrivers Free","09/02/20","https://download.cnet.com/SlimDrivers-Free/3000-18513_4-75279940.html","1,560"
"EaseUS Data Recovery Wizard Free","07/11/22","https://download.cnet.com/EaseUS-Data-Recovery-Wizard-Free/3000-2248_4-75184619.html","409"
"MiniTool Partition Wizard Free Edition","07/03/20","https://download.cnet.com/MiniTool-Partition-Wizard-Free-Edition/3000-2094_4-10962200.html","1,732"
"Belarc Advisor","01/29/19","https://download.cnet.com/Belarc-Advisor/3000-2094_4-10007277.html","586"
"3DP Chip","03/10/21","https://download.cnet.com/3DP-Chip/3000-2094_4-10909920.html","457"
"CCleaner","06/02/22","https://download.cnet.com/CCleaner/3000-18512_4-10315544.html","16,839"
"7-Zip","2/6/2020","https://download.cnet.com/7-Zip/3000-2250_4-10045185.html","1,196"
"System Mechanic Trial","07/26/22","https://download.cnet.com/System-Mechanic-Trial/3000-18512_4-10030183.html","225"
"AOMEI Partition Assistant Standard","07/27/21","https://download.cnet.com/AOMEI-Partition-Assistant-Standard/3000-2248_4-75118871.html","1,129"
"CPU-Z","12/10/19","https://download.cnet.com/CPU-Z/3000-2086_4-10050423.html","654"
"BlueStacks App Player","04/08/20","https://download.cnet.com/BlueStacks-App-Player/3000-18513_4-75593133.html","401"
"HP USB Disk Storage Format Tool","10/06/13","https://download.cnet.com/HP-USB-Disk-Storage-Format-Tool/3000-2094_4-10974082.html","835"
"SpeedFan","07/06/16","https://download.cnet.com/SpeedFan/3000-2094_4-10067444.html","455"
"Microsoft Office 2010 Service Pack 2 (64-Bit)","05/26/19","https://download.cnet.com/Microsoft-Office-2010-Service-Pack-2-64-Bit/3000-18513_4-75452814.html","5,645"
"Lazesoft Recovery Suite Home","01/09/19","https://download.cnet.com/Lazesoft-Recovery-Suite-Home/3000-2242_4-75749925.html","3,852"
"Smart Defrag","07/21/22","https://download.cnet.com/Smart-Defrag/3000-2094_4-10759533.html","342"
